REGEOGR;VB01001_SEXO;VB01002_COR_RACA;VB01003_IDADE;VB01010A-PESSOAS;VB01021-SERIE;VB01022-TURNO;VB01026-PRETENSAO;VB02024-ALIMENTACAO;TEMPOEDFIS;VB07010-BULLYING;VB09010-AGRESSÃO;VB09016-ABUSO;VB06001
1;2;1;14;4;4;1;3;1;0;2;1;2;2
1;1;4;16;3;4;1;3;1;45;1;2;2;2
1;1;1;13;4;4;1;3;1;0;1;1;2;2
1;1;4;14;4;4;1;3;1;45;2;1;2;2
1;1;1;14;2;4;1;3;1;0;1;1;2;2
1;1;4;17;4;4;1;5;1;45;1;1;2;1
1;2;4;14;3;4;1;3;1;5;1;1;2;2
1;1;1;13;4;4;1;1;1;0;2;1;2;2
1;1;1;14;5;4;1;3;3;0;1;1;2;2
1;2;1;15;5;4;1;3;1;0;1;1;2;2
1;2;1;14;5;4;1;1;1;0;2;1;2;2
1;1;2;13;6;4;1;3;1;0;1;1;2;2
1;2;4;14;3;4;1;3;4;0;1;1;2;2
1;2;4;17;4;4;1;3;2;0;1;1;2;2
1;1;2;14;5;4;1;3;1;5;2;1;2;2
1;2;1;16;9;4;1;3;1;0;1;1;2;2
1;1;1;14;2;4;1;3;1;55;2;1;2;2
1;1;2;14;3;4;1;3;1;45;1;1;2;2
1;1;1;13;3;4;1;3;1;0;2;1;2;2
1;1;3;18;4;4;1;5;3;45;2;1;2;2
1;1;2;14;3;4;1;3;2;15;2;1;2;2
1;1;2;14;4;4;1;3;1;110;1;1;2;1
1;1;2;15;3;4;1;3;1;90;1;1;2;2
1;1;1;15;7;4;1;3;1;70;2;1;2;2
1;1;3;14;5;4;1;3;1;70;1;3;2;2
1;1;2;13;4;4;1;2;1;130;1;1;2;2
1;2;1;13;4;4;1;2;1;70;2;1;2;2
1;1;1;14;4;4;1;3;1;90;1;4;2;2
1;1;1;14;2;4;1;3;1;90;1;1;2;2
1;1;1;15;4;4;1;3;1;110;2;2;2;2
1;1;4;14;6;4;1;3;1;130;1;8;2;2
1;2;2;12;4;4;1;3;1;50;2;1;2;2
1;1;4;14;6;4;1;4;1;110;2;1;2;2
1;1;1;14;3;4;1;3;1;45;1;1;2;2
